satellite_id,time,r_x,r_y,r_z,v_x,v_y,v_z,applied_thrust_x,applied_thrust_y,applied_thrust_z,leading_link_active,trailing_link_active,solver_status
0,10.0,6877715.140581397,76124.52535955705,0.0,-84.37102484508331,7612.141266162711,0.0,0.0,0.0,0.0,True,True,optimal
0,20.0,6876449.613857241,152239.71276640805,0.0,-168.73174349790116,7610.740601534002,0.0,0.0,0.0,0.0,True,True,optimal
0,30.0,6874340.574415814,228336.22539891864,0.0,-253.07185099333407,7608.406348994959,0.0,0.0,0.0,0.0,True,True,optimal
0,40.0,6871388.2798838,304404.7286974641,0.0,-337.3810448204261,7605.138791285946,0.0,0.0,0.0,0.0,True,True,optimal
0,50.0,6867593.090895612,380435.891495109,0.0,-421.64902614914,7600.938324197977,0.0,0.0,0.0,0.0,True,True,optimal
0,60.0,6862955.471050447,456420.3871478973,0.0,-505.86550105672023,7595.805456527228,0.0,0.0,0.0,0.0,True,True,optimal
0,70.0,6857475.986857086,532348.894664622,0.0,-590.0201817535335,7589.740810016558,0.0,0.0,0.0,0.0,True,True,optimal
0,80.0,6851155.307666437,608212.0998359462,0.0,-674.1027878082562,7582.7451192840435,0.0,0.0,0.0,0.0,True,True,optimal
0,90.0,6843994.205591824,684000.6963627432,0.0,-758.1030473722774,7574.819231738539,0.0,0.0,0.0,0.0,True,True,optimal
0,100.0,6835993.555417048,759705.3869835279,0.0,-842.0106984031886,7565.964107482259,0.0,0.0,0.0,0.0,True,True,optimal
0,110.0,6827154.334492208,835316.8846008503,0.0,-925.8154898872277,7556.180819200406,0.0,0.0,0.0,0.0,True,True,optimal
0,120.0,6817477.62261731,910825.9134065183,0.0,-1009.5071830605482,7545.470552037838,0.0,0.0,0.0,0.0,True,True,optimal
0,130.0,6806964.601913663,986223.2100055246,0.0,-1093.075552629182,7533.834603462803,0.0,0.0,0.0,0.0,True,True,optimal
0,140.0,6795616.556683088,1061499.524538545,0.0,-1176.5103879875683,7521.274383117736,0.0,0.0,0.0,0.0,True,True,optimal
0,150.0,6783434.87325495,1136645.6218028802,0.0,-1259.8014944355127,7507.791412657146,0.0,0.0,0.0,0.0,True,True,optimal
0,160.0,6770421.039821026,1211652.2823717128,0.0,-1342.938694393454,7493.3873255725985,0.0,0.0,0.0,0.0,True,True,optimal
0,170.0,6756576.646258225,1286510.303711549,0.0,-1425.9118286159014,7478.06386700481,0.0,0.0,0.0,0.0,True,True,optimal
0,180.0,6741903.383939194,1361210.501297716,0.0,-1508.7107574029174,7461.82289354288,0.0,0.0,0.0,0.0,True,True,optimal
0,190.0,6726403.04553081,1435743.7097277897,0.0,-1591.325361809512,7444.66637301066,0.0,0.0,0.0,0.0,True,True,optimal
0,200.0,6710077.524780598,1510100.7838328201,0.0,-1673.7455448528242,7426.596384240308,0.0,0.0,0.0,0.0,True,True,optimal
0,210.0,6692928.816291075,1584272.5997862283,0.0,-1755.9612327169539,7407.615116833009,0.0,0.0,0.0,0.0,True,True,optimal
0,220.0,6674959.015282075,1658250.0562102478,0.0,-1837.9623759553208,7387.724870906924,0.0,0.0,0.0,0.0,True,True,optimal
0,230.0,6656170.317341049,1732024.0752797802,0.0,-1919.7389506904183,7366.928056832358,0.0,0.0,0.0,0.0,True,True,optimal
0,240.0,6636565.01816139,1805585.6038235398,0.0,-2001.2809598108324,7345.2271949541955,0.0,0.0,0.0,0.0,True,True,optimal
0,250.0,6616145.513268797,1878925.6144223583,0.0,-2082.5784341653984,7322.624915301603,0.0,0.0,0.0,0.0,True,True,optimal
0,260.0,6594914.297735715,1952035.1065045237,0.0,-2163.6214337543647,7299.12395728505,0.0,0.0,0.0,0.0,True,True,optimal
0,270.0,6572873.965883879,2024905.1074380244,0.0,-2244.4000489174355,7274.727169380655,0.0,0.0,0.0,0.0,True,True,optimal
0,280.0,6550027.21097499,2097526.6736195767,0.0,-2324.9044015185636,7249.437508801903,0.0,0.0,0.0,0.0,True,True,optimal
0,290.0,6526376.824889566,2169890.8915603026,0.0,-2405.124646127366,7223.258041158747,0.0,0.0,0.0,0.0,True,True,optimal
0,300.0,6501925.697793989,2241988.8789679385,0.0,-2485.05097119703,7196.191940104135,0.0,0.0,0.0,0.0,True,True,optimal
0,310.0,6476676.614068217,2313812.3766826075,0.0,-2564.7143452984906,7168.360657206386,0.0,-3.2596762665333157,9.453810692697473,0.0,True,True,optimal
0,320.0,6450632.4491782235,2385353.15653224,0.0,-2644.0655827193264,7139.648938445297,0.0,-3.3641076939545242,9.417154846313062,0.0,True,True,optimal
0,330.0,6423796.37309575,2456602.431405498,0.0,-2723.094968619567,7110.060251141551,0.0,-3.4681270326177547,9.379345438866594,0.0,True,True,optimal
0,340.0,6396171.652755362,2527551.449399791,0.0,-2801.792825470501,7079.598169663108,0.0,-3.57172154060034,9.34038710184825,0.0,True,True,optimal
0,350.0,6367761.651675443,2598191.494889912,0.0,-2880.1495142333847,7048.266375055901,0.0,-3.6748785280195504,9.300284607487153,0.0,True,True,optimal
0,360.0,6338569.829567414,2668513.8895929176,0.0,-2958.1554355353087,7016.068654661546,0.0,-3.7775853585870465,9.259042868166796,0.0,True,True,optimal
0,370.0,6308599.741933204,2738509.9936291184,0.0,-3035.8010308420753,6983.008901722057,0.0,-3.879829451156773,9.216666935823286,0.0,True,True,optimal
0,380.0,6277855.039651019,2808171.2065790533,0.0,-3113.0767836279397,6949.091114971587,0.0,-3.9815982812660935,9.173162001326506,0.0,True,True,optimal
0,390.0,6246339.468549414,2877488.9685363146,0.0,-3189.973220542073,6914.319398215175,0.0,-4.082879382669986,9.12853339384427,0.0,True,True,optimal
0,400.0,6214056.868969731,2946454.7611560975,0.0,-3266.4809125716024,6878.697959894532,0.0,-4.183660348868096,9.082786580189502,0.0,True,True,optimal
0,410.0,6181011.175316919,3015060.108699341,0.0,-3342.59047620108,6842.231112640839,0.0,-4.283928834624493,9.035927164150586,0.0,True,True,optimal
0,420.0,6147206.415598774,3083296.5790723325,0.0,-3418.2925745682337,6804.923272814602,0.0,-4.383672557479895,8.987960885804927,0.0,True,True,optimal
0,430.0,6112646.710953649,3151155.784861647,0.0,-3493.577918615853,6766.778960032546,0.0,-4.482879299256231,8.93889362081581,0.0,True,True,optimal
0,440.0,6077336.275166658,3218629.384364289,0.0,-3568.437268239664,6727.802796681577,0.0,-4.581536907553302,8.888731379712663,0.0,True,True,optimal
0,450.0,6041279.414174424,3285709.0826129117,0.0,-3642.86143343204,6687.999507419816,0.0,-4.679633297237407,8.837480307154783,0.0,True,True,optimal
0,460.0,6004480.525558414,3352386.632395978,0.0,-3716.8412754214046,6647.373918664724,0.0,-4.777156451921715,8.785146681178656,0.0,True,True,optimal
0,470.0,5966944.098026899,3418653.835272744,0.0,-3790.3677078071687,6605.930958068343,0.0,-4.874094425438226,8.731736912428913,0.0,True,True,optimal
0,480.0,5928674.710885588,3484502.5425829245,0.0,-3863.4316976900627,6563.675653979656,0.0,-4.970435343301122,8.677257543373061,0.0,True,True,optimal
0,490.0,5889677.033496984,3549924.656450922,0.0,-3936.0242667977022,6520.613134894103,0.0,-5.066167404161335,8.621715247500049,0.0,True,True,optimal
0,500.0,5849955.824728508,3614912.130784486,0.0,-4008.1364926052424,6476.7486288902655,0.0,-5.161278881252174,8.565116828502804,0.0,True,True,optimal
0,510.0,5809515.932389436,3679456.972267673,0.0,-4079.759509450969,6432.087463053755,0.0,-5.255758123825793,8.507469219444806,0.0,True,True,optimal
0,520.0,5768362.2926567225,3743551.2413479835,0.0,-4150.8845096466675,6386.635062888314,0.0,-5.349593558580366,8.44877948191081,0.0,True,True,optimal
0,530.0,5726499.929489725,3807187.0532175465,0.0,-4221.50274458263,6340.39695171418,0.0,-5.442773691077756,8.389054805141845,0.0,True,True,optimal
0,540.0,5683933.954033922,3870356.5787882227,0.0,-4291.605525827132,6293.37875005373,0.0,-5.535287107151547,8.328302505154547,0.0,True,True,optimal
0,550.0,5640669.56401366,3933052.0456605004,0.0,-4361.184226220238,6245.586175004438,0.0,-5.627122474305219,8.266530023844997,0.0,True,True,optimal
0,560.0,5596712.043113987,3995265.73908606,0.0,-4430.230280961778,6197.025039599185,0.0,-5.71826854310034,8.2037449280771,0.0,True,True,optimal
0,570.0,5552066.760351643,4056990.0029238756,0.0,-4498.735188693337,6147.70125215396,0.0,-5.808714148534567,8.139954908755696,0.0,True,True,optimal
0,580.0,5506739.169435258,4118217.2405897337,0.0,-4566.69051257411,6097.620815602979,0.0,-5.898448211409312,8.075167779884449,0.0,True,True,optimal
0,590.0,5460734.808114822,4178939.9159990377,0.0,-4634.087881350466,6046.7898268212775,0.0,-5.9874597396869,8.009391477608652,0.0,True,True,optimal
0,600.0,5414059.29752049,4239150.554502778,0.0,-4700.918990419065,5995.21447593481,0.0,-6.075737829837044,7.942634059243109,0.0,True,True,optimal
0,610.0,5366718.341490817,4298841.74381651,0.0,-4767.175602879121,5942.901045612671,0.0,-6.163271328167242,7.874903267855399,0.0,True,True,optimal
0,620.0,5318717.72589041,4358006.134942307,0.0,-4832.84955059485,5889.855910368687,0.0,-6.250050187381083,7.806208272772751,0.0,True,True,optimal
0,630.0,5270063.317917123,4416636.4430835005,0.0,-4897.932735225697,5836.085535817937,0.0,-6.336063442264341,7.736557050671143,0.0,True,True,optimal
0,640.0,5220761.065398901,4474725.448552029,0.0,-4962.417129266297,5781.596477942834,0.0,-6.421300556562359,7.665958133526426,0.0,True,True,optimal
0,650.0,5170816.996080273,4532265.99766837,0.0,-5026.294777075044,5726.395382341483,0.0,-6.505751089094365,7.594420169403027,0.0,True,True,optimal
0,660.0,5120237.216898609,4589251.003653879,0.0,-5089.557795895275,5670.488983463852,0.0,-6.5894046950324805,7.521951921394602,0.0,True,True,optimal
0,670.0,5069027.913250193,4645673.447515449,0.0,-5152.1983768689215,5613.884103835805,0.0,-6.672251127168913,7.448562266550587,0.0,True,True,optimal
0,680.0,5017195.3482462,4701526.378922329,0.0,-5214.208786042478,5556.587653271072,0.0,-6.754280237171198,7.374260194788805,0.0,True,True,optimal
0,690.0,4964745.861958655,4756802.917075021,0.0,-5275.58136536513,5498.606628071194,0.0,-6.835481976825329,7.299054807794235,0.0,True,True,optimal
0,700.0,4911685.870656446,4811496.251566103,0.0,-5336.308533678882,5439.948110213536,0.0,-6.91584639926661,7.222955317904098,0.0,True,True,optimal
0,710.0,4858021.866031482,4865599.643232877,0.0,-5396.382787700538,5380.619266527409,0.0,-6.995363660198121,7.14597104697938,0.0,True,True,optimal
0,720.0,4803760.414415069,4919106.425001726,0.0,-5455.796702995375,5320.627347858389,0.0,-7.074024019096581,7.068111425262952,0.0,True,True,optimal
0,730.0,4748908.155984591,4972010.002724039,0.0,-5514.542934942361,5259.979688220886,0.0,-7.151817840405539,6.989385990224397,0.0,True,True,optimal
